customer_id,signup_date,plan,region,signup_channel,tenure_months,monthly_spend,support_tickets,logins_last_30d,satisfaction_score,renewed
CUS-10072,2022-12-31,standard,west,organic,27,40.98,1,31,7.2,1
CUS-10073,2024-02-14,standard,east,referral,18,44.3,3,9,5.8,1
CUS-10074,2022-10-04,basic,east,partner,30,21.03,3,19,,1
CUS-10075,2022-10-12,standard,north,paid_search,39,49.79,4,17,5.6,0
CUS-10076,2024-01-28,standard,south,partner,15,41.12,2,20,7.1,1
CUS-10077,2022-08-23,premium,west,organic,20,95.33,5,25,5.0,1
CUS-10078,2024-05-07,standard,north,partner,11,54.56,2,26,4.7,0
CUS-10079,2023-06-15,premium,south,partner,30,108.38,0,24,7.2,1
CUS-10080,2023-05-04,basic,south,organic,10,17.54,1,25,6.2,1
CUS-10081,2022-03-20,premium,west,organic,11,91.02,0,26,6.9,1
CUS-10082,2024-03-11,basic,east,paid_search,9,20.16,1,27,5.5,0
CUS-10083,2022-02-22,standard,north,partner,22,48.37,0,33,7.3,1
CUS-10084,2022-12-19,basic,north,paid_search,14,23.74,1,27,8.5,1
CUS-10085,2023-12-19,premium,east,organic,20,81.99,2,27,4.7,1
CUS-10086,2022-08-19,standard,west,referral,20,51.96,2,29,7.8,1
CUS-10087,2023-01-17,standard,north,referral,42,49.3,4,22,5.8,1
CUS-10088,2022-11-21,standard,north,paid_search,56,47.28,1,26,6.7,1
CUS-10089,2023-10-11,premium,east,referral,30,81.77,1,18,,1
CUS-10090,2023-10-17,premium,north,organic,44,106.92,0,31,9.1,1
CUS-10091,2023-07-05,standard,west,referral,50,38.4,2,35,,1
CUS-10092,2024-04-13,premium,south,paid_search,30,127.95,1,42,9.0,1
CUS-10093,2023-06-27,standard,east,partner,32,46.12,4,28,3.8,1
CUS-10094,2022-06-11,basic,south,referral,6,22.03,5,12,5.4,0
CUS-10095,2023-10-08,standard,west,organic,36,43.58,2,23,5.9,1
CUS-10096,2023-01-15,standard,west,partner,26,38.26,5,18,5.0,0
CUS-10097,2024-03-10,premium,south,referral,32,105.58,1,39,7.0,0
CUS-10098,2023-02-10,standard,west,paid_search,37,55.99,1,25,7.0,1
CUS-10099,2023-01-07,basic,east,organic,44,16.76,1,22,8.0,1
CUS-10100,2023-02-03,standard,north,paid_search,20,54.12,0,23,6.6,1
CUS-10101,2024-05-09,standard,east,referral,17,44.29,2,12,5.3,0
CUS-10102,2023-01-26,basic,east,organic,11,20.72,2,20,4.0,0
CUS-10103,2022-05-04,basic,north,organic,33,20.19,0,32,7.8,1
CUS-10104,2024-06-05,standard,north,referral,37,54.03,1,36,6.4,1
CUS-10105,2022-03-18,basic,south,partner,14,18.48,3,21,5.0,1
CUS-10106,2022-07-03,standard,south,paid_search,23,47.05,1,23,7.3,1
CUS-10107,2024-06-16,standard,west,partner,59,55.32,3,35,,1
CUS-10108,2023-12-12,basic,north,organic,15,20.04,1,20,7.5,1
CUS-10109,2024-06-08,premium,east,paid_search,47,97.44,1,34,6.6,1
CUS-10110,2023-11-16,premium,west,organic,31,114.62,2,17,8.3,1
CUS-10111,2022-12-29,standard,west,partner,41,32.19,5,22,4.2,1
CUS-10112,2024-01-21,basic,east,organic,5,20.94,0,22,8.1,1
CUS-10113,2023-09-25,premium,south,referral,12,98.11,1,27,,1
CUS-10114,2022-09-24,premium,west,referral,44,126.34,4,14,5.1,0
CUS-10115,2022-07-04,standard,east,partner,58,57.87,2,31,7.1,1
CUS-10116,2022-12-31,premium,east,paid_search,8,118.23,3,29,5.5,0
CUS-10117,2023-12-13,premium,east,referral,44,74.98,2,21,6.7,1
CUS-10118,2022-09-01,standard,west,partner,25,49.14,1,27,6.0,1
CUS-10119,2024-03-18,basic,north,paid_search,9,19.35,5,20,4.2,0
CUS-10120,2024-04-12,premium,west,partner,16,65.79,0,17,,1
CUS-10121,2022-05-09,basic,north,paid_search,21,23.49,2,29,5.3,1
CUS-10122,2024-04-02,basic,south,organic,38,17.99,2,27,8.2,0
CUS-10123,2022-06-09,standard,west,referral,46,54.96,2,35,8.4,1
CUS-10124,2023-03-26,basic,east,referral,16,23.3,1,24,8.5,0
CUS-10125,2023-02-15,standard,north,partner,3,46.59,3,15,5.4,0
CUS-10126,2023-01-07,premium,west,organic,48,85.73,0,34,7.5,1
CUS-10127,2023-11-27,premium,west,referral,29,91.18,1,32,5.7,1
CUS-10128,2023-08-21,standard,east,paid_search,60,46.6,1,34,6.7,1
CUS-10129,2023-01-07,standard,north,referral,49,47.92,0,32,7.2,1
CUS-10130,2023-12-29,basic,west,paid_search,27,17.1,1,33,7.7,1
CUS-10131,2024-03-01,standard,east,organic,52,40.91,3,28,5.9,1
CUS-10132,2023-05-06,standard,south,partner,15,54.55,5,9,3.8,0
CUS-10133,2023-01-01,standard,east,referral,17,51.16,1,23,6.7,0
CUS-10134,2024-03-18,premium,north,referral,38,106.17,2,26,6.1,0
CUS-10135,2024-02-12,premium,north,partner,47,116.46,1,17,7.1,1
CUS-10136,2023-08-14,standard,west,organic,28,46.75,3,17,7.9,1
CUS-10137,2022-01-02,premium,north,organic,20,106.01,3,15,5.0,0
CUS-10138,2022-08-20,basic,west,organic,27,22.06,0,26,6.6,1
CUS-10139,2022-03-05,basic,north,referral,3,19.22,1,19,6.2,0
CUS-10140,2023-04-18,premium,east,referral,15,94.65,3,28,4.7,1
CUS-10141,2024-04-10,basic,north,referral,40,17.05,2,15,7.1,1
CUS-10142,2024-05-27,standard,north,referral,60,46.97,1,27,,1
CUS-10143,2023-04-16,premium,east,referral,22,92.05,1,24,5.4,1
CUS-10144,2023-09-17,premium,west,partner,13,96.29,2,11,6.1,0
CUS-10145,2023-11-09,premium,east,paid_search,14,80.85,1,18,6.1,1
CUS-10146,2022-12-14,standard,east,paid_search,57,48.83,1,26,5.4,1
CUS-10147,2023-12-23,basic,north,paid_search,58,20.54,1,36,4.6,1
CUS-10148,2022-06-29,premium,south,partner,59,102.08,1,38,8.7,1
CUS-10149,2023-01-22,basic,north,organic,48,21.66,0,28,6.9,1
CUS-10150,2023-01-05,basic,east,paid_search,1,15.86,2,22,6.7,0
CUS-10151,2022-06-26,standard,east,paid_search,13,48.82,0,20,6.8,0
CUS-10152,2023-11-19,basic,east,organic,58,18.49,3,20,5.8,1
CUS-10153,2022-09-28,standard,east,referral,5,49.88,1,30,8.1,1
CUS-10154,2022-01-22,standard,north,referral,59,54.93,0,33,7.8,1
CUS-10155,2024-03-28,basic,west,referral,48,17.92,3,27,6.4,1
CUS-10156,2022-06-16,standard,east,referral,54,51.79,1,37,,1
CUS-10157,2023-12-30,basic,south,referral,38,16.73,4,16,5.3,1
CUS-10158,2024-05-13,basic,east,referral,40,21.1,2,27,,0
CUS-10159,2024-02-08,basic,south,partner,30,16.09,2,21,,1
CUS-10160,2024-04-03,basic,south,partner,51,18.71,3,31,7.3,1
CUS-10161,2023-07-21,premium,north,paid_search,7,114.81,0,37,6.6,0
CUS-10162,2023-11-16,standard,south,paid_search,59,37.17,0,26,8.3,1
CUS-10163,2023-11-22,basic,south,paid_search,35,21.04,2,29,5.6,1
CUS-10164,2022-12-08,premium,west,paid_search,51,104.47,3,31,7.6,1
CUS-10165,2022-01-23,premium,east,partner,55,92.31,0,39,7.8,1
CUS-10166,2023-07-01,premium,west,organic,43,91.09,0,29,8.2,1
CUS-10167,2023-07-20,basic,west,referral,60,15.28,1,21,,1
CUS-10168,2023-03-27,basic,east,organic,59,15.8,0,38,6.9,1
CUS-10169,2022-09-21,basic,south,paid_search,1,15.5,0,22,8.3,0
CUS-10170,2023-06-07,standard,west,partner,22,45.1,1,25,,0
CUS-10171,2023-04-16,standard,east,organic,52,38.96,2,30,6.2,1
CUS-10172,2022-09-20,premium,east,referral,34,113.8,3,32,5.1,1
CUS-10173,2023-04-15,basic,west,paid_search,32,18.79,3,24,5.2,1
CUS-10174,2022-10-08,standard,north,partner,34,65.82,2,22,6.3,1
CUS-10175,2022-02-06,basic,west,paid_search,35,21.04,1,29,6.7,1
CUS-10176,2022-05-18,premium,west,referral,41,99.28,1,25,8.2,1
CUS-10177,2023-07-17,premium,east,organic,45,105.43,1,35,6.2,1
CUS-10178,2023-12-04,basic,north,paid_search,16,15.48,3,16,6.4,0
CUS-10179,2024-01-23,standard,north,partner,58,50.48,1,30,,1
CUS-10180,2024-05-05,basic,north,paid_search,39,16.09,3,23,5.6,1
CUS-10181,2023-12-27,premium,south,partner,28,119.41,4,26,4.5,1
CUS-10182,2024-05-16,basic,north,referral,7,19.5,2,14,7.7,0
CUS-10183,2024-04-19,premium,east,organic,27,114.95,3,22,6.9,0
CUS-10184,2022-10-23,premium,west,paid_search,4,77.1,2,23,5.4,0
CUS-10185,2022-02-28,standard,north,paid_search,52,47.19,3,31,4.3,1
CUS-10186,2023-02-06,premium,north,paid_search,25,82.46,2,12,5.5,1
CUS-10187,2024-06-17,premium,north,organic,14,75.56,3,22,4.9,1
CUS-10188,2023-10-21,basic,west,referral,56,18.8,1,24,7.4,1
CUS-10189,2022-08-12,basic,east,organic,26,20.4,1,31,6.3,1
CUS-10190,2024-06-04,premium,west,paid_search,44,99.65,2,32,5.7,1
CUS-10191,2022-08-10,premium,east,organic,9,113.69,2,24,5.0,1
CUS-10192,2022-03-27,basic,south,partner,20,16.56,2,23,5.8,0
CUS-10193,2023-09-08,basic,south,partner,41,19.36,0,32,7.9,1
CUS-10194,2024-06-10,standard,north,referral,6,53.43,1,21,6.4,1
CUS-10195,2023-07-30,basic,east,organic,43,15.32,2,32,7.1,1
CUS-10196,2024-04-03,premium,east,partner,18,106.26,4,7,6.0,1
CUS-10197,2024-04-08,standard,east,organic,44,50.78,3,35,3.3,1
CUS-10198,2023-02-20,basic,north,paid_search,43,21.1,0,28,7.8,1
CUS-10199,2022-03-30,basic,south,organic,15,16.15,2,18,6.6,0
CUS-10200,2022-03-11,premium,west,referral,9,81.75,1,29,6.2,1
CUS-10201,2023-03-12,premium,south,organic,19,76.92,2,36,6.3,1
CUS-10202,2022-10-14,premium,north,paid_search,60,115.65,3,26,5.9,1
CUS-10203,2023-12-04,standard,north,paid_search,51,64.26,5,22,,1
CUS-10204,2022-04-06,standard,south,paid_search,25,49.18,1,27,5.8,1
CUS-10205,2024-06-09,premium,north,organic,18,104.48,1,25,7.2,1
CUS-10206,2022-04-22,premium,south,referral,52,89.05,3,22,6.4,1
CUS-10207,2022-05-29,premium,west,referral,59,114.62,2,30,5.7,1
CUS-10208,2022-06-26,basic,south,referral,6,22.63,1,24,,0
CUS-10209,2022-04-06,premium,south,organic,33,101.78,1,31,7.6,1
CUS-10210,2023-03-15,premium,south,paid_search,58,115.56,3,31,,1
CUS-10211,2023-03-19,standard,east,organic,54,56.4,4,26,6.5,0
CUS-10212,2022-12-09,premium,west,paid_search,27,103.41,1,34,6.0,1
CUS-10213,2023-09-25,premium,east,partner,44,126.93,1,23,6.5,1
CUS-10214,2022-07-01,standard,west,paid_search,37,47.92,2,32,6.1,1
CUS-10215,2023-01-09,standard,east,referral,29,45.43,1,25,7.6,1
CUS-10216,2024-04-16,standard,east,referral,9,42.98,2,33,,0
CUS-10217,2022-12-10,standard,east,partner,17,52.64,0,27,6.6,1
CUS-10218,2022-05-26,standard,west,paid_search,18,55.09,1,16,6.6,0
CUS-10219,2023-02-01,basic,west,partner,13,18.4,2,10,4.9,0
CUS-10220,2023-07-18,basic,south,referral,52,17.03,1,28,6.1,1
CUS-10221,2024-06-15,basic,north,paid_search,46,17.39,2,27,8.4,1
CUS-10222,2022-01-15,basic,east,referral,48,19.16,2,24,7.4,1
CUS-10223,2023-01-19,standard,east,partner,49,48.96,3,17,6.5,1
CUS-10224,2023-01-08,basic,east,organic,40,21.74,3,23,6.2,0
CUS-10225,2024-02-20,standard,north,organic,34,51.69,2,29,6.4,1
CUS-10226,2022-04-11,basic,west,partner,10,19.45,0,22,7.0,1
CUS-10227,2023-01-23,standard,south,organic,57,52.33,1,17,6.0,1
CUS-10228,2022-01-20,basic,east,organic,41,20.18,1,27,6.3,1
CUS-10229,2024-03-12,standard,west,partner,40,49.22,0,41,5.2,1
CUS-10230,2022-03-25,standard,north,organic,52,53.04,3,23,,0
CUS-10231,2023-06-07,standard,south,referral,40,48.0,0,39,8.4,1
CUS-10232,2024-01-14,premium,west,referral,28,107.4,0,30,7.3,1
CUS-10233,2022-12-29,premium,north,paid_search,16,119.23,3,14,5.6,0
CUS-10234,2022-08-04,basic,east,partner,42,19.17,0,33,7.5,1
CUS-10235,2022-05-21,standard,east,partner,18,40.95,0,33,7.3,1
CUS-10236,2022-01-10,standard,north,partner,18,56.11,2,24,9.1,1
CUS-10237,2024-05-22,premium,north,referral,51,119.59,3,27,4.6,1
CUS-10238,2022-11-18,premium,west,paid_search,9,107.94,1,16,7.7,0
CUS-10239,2022-05-19,basic,east,paid_search,12,20.24,0,27,8.3,1
CUS-10240,2024-03-20,premium,west,partner,23,75.25,3,19,7.2,0
CUS-10241,2024-05-25,basic,south,referral,3,18.84,2,25,7.4,0
CUS-10242,2023-05-03,premium,west,referral,46,100.44,3,22,4.6,0
CUS-10243,2024-05-30,standard,east,partner,15,52.37,1,20,7.3,1
CUS-10244,2023-01-16,premium,west,paid_search,50,127.3,3,25,4.5,1
CUS-10245,2023-04-05,basic,west,partner,8,17.69,4,7,,0
CUS-10246,2023-03-29,basic,south,organic,8,17.3,1,10,5.1,0
CUS-10247,2022-05-27,basic,south,referral,46,18.2,2,26,6.0,1
CUS-10248,2023-12-08,basic,east,referral,60,17.4,3,32,5.9,1
CUS-10249,2024-03-11,basic,east,organic,35,22.36,0,20,7.2,0
CUS-10250,2024-02-25,premium,south,paid_search,53,92.39,0,34,6.9,1
CUS-10251,2022-05-29,basic,south,partner,10,16.32,0,32,9.2,1
CUS-10252,2024-01-20,basic,west,paid_search,50,15.73,0,26,6.6,1
CUS-10253,2024-02-11,basic,east,organic,10,19.39,0,25,6.7,1
CUS-10254,2022-11-15,standard,north,partner,52,58.94,0,34,7.3,1
CUS-10255,2022-07-07,standard,north,partner,49,44.13,3,23,6.5,0
CUS-10256,2022-04-30,basic,south,organic,26,24.54,0,26,6.8,0
CUS-10257,2023-03-13,standard,south,partner,6,53.47,0,33,,1
CUS-10258,2022-03-20,basic,east,paid_search,7,18.85,3,18,5.6,0
CUS-10259,2024-02-23,standard,east,paid_search,45,55.03,3,31,,1
CUS-10260,2023-03-26,premium,north,referral,16,122.04,3,23,5.7,0
CUS-10261,2023-01-10,basic,south,referral,36,20.78,2,26,7.6,1
CUS-10262,2024-02-21,basic,west,paid_search,11,22.94,1,23,6.2,1
CUS-10263,2022-12-23,basic,west,paid_search,59,15.95,1,25,7.1,1
CUS-10264,2023-09-08,basic,south,paid_search,31,21.31,0,35,4.3,1
CUS-10265,2022-04-10,basic,north,organic,57,18.32,3,23,,0
CUS-10266,2023-07-01,basic,south,organic,36,16.2,1,26,6.9,1
CUS-10267,2023-11-10,standard,west,organic,59,57.42,1,21,5.4,1
CUS-10268,2022-03-27,premium,north,paid_search,15,100.25,3,20,8.2,0
CUS-10269,2023-02-05,premium,south,partner,15,114.96,4,17,6.9,0
CUS-10270,2023-10-27,basic,west,organic,10,20.83,2,26,6.2,1
CUS-10271,2024-02-06,standard,east,paid_search,13,33.3,3,27,7.0,0
CUS-10272,2023-08-03,standard,south,referral,30,48.29,1,37,6.4,1
CUS-10273,2023-10-15,basic,north,paid_search,24,17.0,3,23,5.7,1
CUS-10274,2023-12-06,basic,west,partner,6,18.82,1,23,6.6,1
CUS-10275,2023-04-03,premium,south,paid_search,40,96.94,3,26,6.2,1
CUS-10276,2022-12-23,basic,east,partner,1,19.73,2,20,4.9,0
CUS-10277,2022-08-01,basic,north,organic,35,17.24,2,24,6.3,1
CUS-10278,2022-07-19,premium,south,paid_search,42,111.13,0,31,7.9,1
CUS-10279,2022-02-14,premium,east,paid_search,9,96.08,1,29,6.3,1
CUS-10280,2023-06-19,standard,west,paid_search,2,56.21,2,16,6.1,0
CUS-10281,2023-10-02,basic,north,organic,42,19.23,1,25,7.8,1
CUS-10282,2023-11-11,standard,north,organic,28,52.56,3,27,5.8,1
CUS-10283,2022-12-01,basic,west,referral,43,19.94,2,25,6.3,1
CUS-10284,2022-10-15,standard,north,partner,11,46.4,1,24,6.9,1
CUS-10285,2024-04-11,basic,north,paid_search,36,18.65,2,21,4.8,1
CUS-10286,2022-01-03,premium,east,organic,35,95.51,3,17,5.3,1
CUS-10287,2023-10-09,standard,south,paid_search,4,43.12,2,21,6.1,0
CUS-10288,2022-12-03,premium,west,partner,46,90.61,1,33,8.1,1
CUS-10289,2023-11-05,standard,east,paid_search,31,39.95,3,22,5.4,0
CUS-10290,2023-11-19,basic,west,referral,23,18.08,0,25,8.3,1
CUS-10291,2023-11-02,premium,west,organic,42,99.12,2,29,6.3,0
CUS-10292,2022-02-23,basic,east,paid_search,38,14.78,3,19,,0
CUS-10293,2022-01-16,premium,north,paid_search,20,96.53,0,16,7.7,1
CUS-10294,2022-05-02,basic,east,referral,3,16.71,4,10,7.0,0
CUS-10295,2022-02-15,standard,west,referral,17,49.86,3,23,5.9,0
CUS-10296,2023-05-11,standard,north,organic,14,45.15,2,22,,1
CUS-10297,2024-05-30,standard,east,paid_search,34,46.34,3,16,5.9,1
CUS-10298,2022-07-19,basic,south,paid_search,29,17.63,2,33,6.0,1
CUS-10299,2024-06-02,basic,west,organic,46,17.9,4,18,5.2,1
